"id_original","base_original","timestamp","id_global","id_PGJ","id_SSC","id_C5","lat","lon","d_PGJ","d_SSC","d_C5","t_PGJ","t_SSC","t_C5"
"16415","SSC","22/12/2018, 23:45:00",773,"24403","16415","C5/181222/11181",19.421286,-99.098419,192.451278267766,,128.875142079154,34.9999999988358,,45.2833333314629
"17063","PGJ","26/01/2018, 07:25:00",29,"17063","865","C5/180126/01013",19.3397663911961,-98.9767126393181,,1570.37862466117,795.493044197029,,5.00000000058208,61.7833333328599
"C5/180321/00583","C5","21/03/2018, 04:13:47",818,"18283","2741","C5/180321/00583",19.45198998,-99.12480984,301.574634079248,196.877724024428,,6.21666666353121,7.21666666679084,
"21473","PGJ","19/08/2018, 03:30:00",284,"21473","9220",,19.3553901960173,-99.0882131998771,,605.589363150481,,,29.9999999982538,
"15141","SSC","30/11/2018, 13:15:00",796,"23839","15141",,19.381217,-99.16865,43.5424724388311,,,25.0000000029104,,
"C5/180526/11014","C5","26/05/2018, 21:28:13",1013,,"4776","C5/180526/11014",19.34215,-99.13813,,118.225583406741,,,6.78333333169576,
"C5/180513/09289","C5","13/05/2018, 19:29:37",1085,"19412","4354","C5/180513/09289",19.279625,-99.102943,1720.78400957061,1504.77289900761,,35.3833333327202,10.3833333350485,
"C5/180809/00918","C5","09/08/2018, 05:49:00",1043,"21261","8680","C5/180809/00918",19.47101004,-99.20670012,408.557861944787,328.41923232183,,95.999999998603,21.0000000003492,
"2708","SSC","20/03/2018, 00:50:00",758,"18259","2708","C5/180320/00234",19.297137,-99.055882,40.1188122168265,,43.3913313501768,0,,4.03333333320916
"C5/181012/00873","C5","12/10/2018, 03:48:06",959,"22712","12297","C5/181012/00873",19.44546003,-99.1827,325.83766645789,287.796044793557,,26.8999999965308,26.8999999965308,
"18461","PGJ","30/03/2018, 01:00:00",121,"18461","3062","C5/180330/00156",19.3655061222135,-99.12674611162,,443.420692332281,607.880435475894,,10.0000000011642,36.56666667026
