"id_global","id_PGJ","id_SSC","id_C5","fecha_incidente","hora_incidente","calle","colonia","alcaldia","lat","lon","delito_pgj","categoria_delito_pgj","fiscalia","agencia","unidad_investigacion"
523,24133,NA,NA,"11/12/2018","22:30:00","FRANCISCO I MADERO","BARRIO SAN ANTONIO","XOCHIMILCO",19.2621071181055,-99.1064949604826,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN XOCHIMILCO","XO-2","UI-1CD"
524,24153,NA,NA,"12/12/2018","20:47:00","CALZADA IGNACION ZARAGOZA","TEPALCATES","IZTAPALAPA",19.3950075330638,-99.0539211727436,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-6","UI-2CD"
525,24157,NA,NA,"12/12/2018","22:17:59","TOMAS HAUYAMA","CABEZA DE JUAREZ VIII","IZTAPALAPA",19.3754412051281,-99.0508958430202,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-5","UI-2SD"
526,24158,NA,NA,"12/12/2018","23:00:00","AV. CRUZ BLANCA","SAN MIGUEL TOPILEJO","TLALPAN",19.1999155302321,-99.1488056163652,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN TLALPAN","TLP-3","UI-2CD"
527,24233,NA,NA,"15/12/2018","23:00:00","HEROES","GUERRERO","CUAUHTEMOC",19.4383331038969,-99.1475523996042,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAUHTEMOC","CUH-2","UI-2CD"
528,24337,NA,NA,"20/12/2018","12:20:00","CALZADA DE TLALPAN Y VICTOR HUGO","MODERNA","BENITO JUAREZ",19.3987872967028,-99.1368813997263,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAUHTEMOC","CUH-7","UI-1SD"
529,24361,NA,NA,"21/12/2018","10:00:00","AUTOPISTA MEXICO CUERNAVACA KILOMETRO 44+300","PARRES EL GUARDA","TLALPAN",19.1337588093354,-99.1688569607222,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN TLALPAN","TLP-4","UI-2CD"
530,24385,NA,NA,"22/12/2018","06:40:00","CAMINO A SANTA FE","SANTA FE","ALVARO OBREGON",19.3853205152088,-99.2266640070692,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN ÁLVARO OBREGÓN","AO-2","UI-3SD"
531,24433,NA,NA,"24/12/2018","18:00:00","CONSTITUYENTES   ESQUINA CON  GENERAL JOSE  MONTESIONOS daniel garza","DANIEL GARZA","MIGUEL HIDALGO",19.4088758971439,-99.1973133881421,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN MIGUEL HIDALGO","H2","UI-1SD"
532,24504,NA,NA,"28/12/2018","22:50:00","AHORRO POSTAL","POSTAL","BENITO JUAREZ",19.388509864584,-99.14034974115,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAUHTEMOC","CUH-7","UI-3SD"
533,24544,NA,NA,"30/12/2018","16:35:00","CARRETERA FEDERAL MEXICO-CUERNAVACA","PARRES EL GUARDA","TLALPAN",19.134489851098,-99.1758333406502,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN TLALPAN","TLP-4","UI-2CD"
